Timestamp,Frequencia_MHz,RSSI_dBm
2025-11-23T16:15:39.918629,430.7,-91
2025-11-23T16:15:39.923615,430.8,-89
2025-11-23T16:15:39.928594,430.9,-89
2025-11-23T16:15:39.933614,431.0,-87
2025-11-23T16:15:39.941421,431.1,-88
2025-11-23T16:15:39.943632,431.2,-87
2025-11-23T16:15:39.948687,431.3,-86
2025-11-23T16:15:39.953818,431.4,-85
2025-11-23T16:15:39.958630,431.5,-84
2025-11-23T16:15:39.964210,431.6,-85
2025-11-23T16:15:39.968655,431.7,-81
2025-11-23T16:15:39.973659,431.8,-84
2025-11-23T16:15:39.978642,431.9,-86
2025-11-23T16:15:39.984815,432.0,-83
2025-11-23T16:15:39.988638,432.1,-87
2025-11-23T16:15:39.993618,432.2,-87
2025-11-23T16:15:39.998605,432.3,-90
2025-11-23T16:15:40.003610,432.4,-85
2025-11-23T16:15:40.008638,432.5,-89
2025-11-23T16:15:40.014067,432.6,-86
2025-11-23T16:15:40.018645,432.7,-85
2025-11-23T16:15:40.023658,432.8,-85
2025-11-23T16:15:40.028600,432.9,-88
2025-11-23T16:15:40.033642,433.0,-87
2025-11-23T16:15:40.038652,433.1,-90
2025-11-23T16:15:40.043626,433.2,-88
2025-11-23T16:15:40.048595,433.3,-91
2025-11-23T16:15:40.053619,433.4,-89
2025-11-23T16:15:40.058678,433.5,-88
2025-11-23T16:15:40.063623,433.6,-88
2025-11-23T16:15:40.068612,433.7,-91
2025-11-23T16:15:40.073651,433.8,-90
2025-11-23T16:15:40.078606,433.9,-87
2025-11-23T16:15:40.083584,434.0,-90
2025-11-23T16:15:40.088627,434.1,-86
2025-11-23T16:15:40.093685,434.2,-89
2025-11-23T16:15:40.098596,434.3,-86
2025-11-23T16:15:40.103638,434.4,-86
2025-11-23T16:15:40.108682,434.5,-88
2025-11-23T16:15:40.113611,434.6,-87
2025-11-23T16:15:40.118597,434.7,-93
2025-11-23T16:15:40.123702,434.8,-89
2025-11-23T16:15:40.128632,434.9,-90
2025-11-23T16:15:40.133599,435.0,-88
2025-11-23T16:15:40.138583,435.1,-87
2025-11-23T16:15:40.143659,435.2,-89
2025-11-23T16:15:40.148611,435.3,-87
2025-11-23T16:15:40.153613,435.4,-91
2025-11-23T16:15:40.158624,435.5,-87
2025-11-23T16:15:40.163607,435.6,-87
2025-11-23T16:15:40.168594,435.7,-92
2025-11-23T16:15:40.173644,435.8,-89
2025-11-23T16:15:40.178700,435.9,-90
2025-11-23T16:15:40.183604,436.0,-87
2025-11-23T16:15:40.188638,436.1,-90
2025-11-23T16:15:40.193633,436.2,-90
2025-11-23T16:15:40.198641,436.3,-89
2025-11-23T16:15:40.203596,436.4,-89
2025-11-23T16:15:40.208596,436.5,-88
2025-11-23T16:15:40.213621,436.6,-85
2025-11-23T16:15:40.218611,436.7,-89
2025-11-23T16:15:40.223636,436.8,-87
2025-11-23T16:15:40.228665,436.9,-86
2025-11-23T16:15:40.233608,437.0,-90
2025-11-23T16:15:40.238664,437.1,-89
2025-11-23T16:15:40.243648,437.2,-88
2025-11-23T16:15:40.248628,437.3,-90
2025-11-23T16:15:40.254420,437.4,-87
2025-11-23T16:15:40.259319,437.5,-92
2025-11-23T16:15:40.265307,437.6,-89
2025-11-23T16:15:40.268637,437.7,-91
2025-11-23T16:15:40.274263,437.8,-90
2025-11-23T16:15:40.278684,437.9,-90
2025-11-23T16:15:40.286411,438.0,-88
2025-11-23T16:15:40.290425,438.1,-87
2025-11-23T16:15:40.301481,438.2,-87
2025-11-23T16:15:40.301695,438.3,-90
2025-11-23T16:15:40.305073,438.4,-90
2025-11-23T16:15:40.308656,438.5,-86
2025-11-23T16:15:40.313630,438.6,-89
2025-11-23T16:15:40.319406,438.7,-87
